 map_id |    maptype     | book | page | npages |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              trs_paths                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |  recdate   |         surveyors          |                          client                          |                                                                        description                                                                        | note 
  16317 | Parcel Map     |   36 |   89 |      2 | {6N.3E.10,6N.3E.11,6N.3E.14,6N.3E.15}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 2018-08-24 | K. PRESTON                 | KYLA TRIPODI                                             | SE/4 SW/4 S10 & SW/4 SE/4 S10 & NW/4 NE/4 S15 HWY 299 & CHEZEM RD.                                                                                        | 
  16318 | Parcel Map     |   36 |   91 |      2 | {6N.1E.20.G,6N.1E.20.K}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 2018-08-27 | M. O'HERN                  | FLORIAN & AMY REBSTOCK                                   | SW/4 NE/4 S20 & NW/4 SE/4 S20   SPEAR AVE. & ALLIANCE RD. & 27TH ST.   LLA                                                                                | 
  16320 | Parcel Map     |   36 |   95 |      2 | {4N.1W.3.A,4N.1W.3.B,4N.1W.3.E}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 2018-12-07 | M. O'HERN                  | ZERLANGS, LLC.                                           | NW/4 NW/4 S3   HIGGINS ST. & ZERLANG LN.                                                                                                                  | 
  16321 | Parcel Map     |   36 |   97 |      2 | {6N.1E.1,6N.2E.6}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 2018-12-12 | M. PULLEY                  | BRIAN & JENNIFER MERRILL                                 | NE/4 SE/4 S1 & SE/4 NE/4 S1 6N,1E   SAWDUST TRAIL RD. & GRASSY CREEK RD.                                                                                  | 
  16323 | Parcel Map     |   36 |  101 |      3 | {3S.5E.27,3S.5E.28,3S.5E.33,3S.5E.34,4S.5E.3,4S.5E.4}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 2018-12-31 | A. BAIRD                   | BRIAN DERR                                               | S33 & NW/4 NW/4 S34 3S,5E +  S3 & S4 4S,5E   ALDERPOINT RD. & RIVER RD.                                                                                   | 
  16324 | Record Map     |   25 |   79 |     17 | {1N.1E.17,1N.1E.18,1N.1E.7,1N.1E.8}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 2018-07-26 | M. O'HERN                  | TOWN OF SCOTIA COMPANY, LLC PHASE 2                      | SE/4 NE/4 S7 & E/2 SE/4 S7 & W/2 SW/4 S8 BRIDGE ST. & MAIN ST. - B ST. & 1ST ST. & 2ND ST. & 3RD ST.                                                      | 
  16325 | Record Map     |   25 |   96 |      2 | {4N.1W.1,4N.1W.2.D,5N.1W.35.P,5N.1W.36.M}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 2018-08-24 | W. WRIGHT                  | BRAY'S ADDITION TO LITTLE TRAIL SUBDIVISION-PHASE 1      | SE/4 SE/4 S35 5N,1W + NE/4 NE/4 S2 4N,1W   CYPRESS AVE. & CEDAR ST.                                                                                       | 
  16326 | Record Map     |   25 |   98 |      5 | {5N.1W.33.H,5N.1W.33.K,5N.1W.33.L,5N.1W.33.O,5N.1W.33.P}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 2018-11-09 | M. O'HERN                  | N & D ENTERPRISES LLC.                                   | W/2 SE/4 S33   SEA AVE. & LITTLE FAIRFIELD ST. & SYDNI CT.   CC 2018-022785-2                                                                             | 
  16328 | Corner Record  |   14 |   12 |      1 | {4S.4E.31}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 2018-07-13 | D. CRIVELLI                |                                                          | NW/4 SW/4 S31   HIDDEN CT.  LOTS 74-79 OF 15 MAPS 39-46                                                                                                   | 
  16329 | Corner Record  |   14 |   13 |      1 | {5N.1W.25.H}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 2018-07-31 | R. GARTON                  |                                                          | SE/4 NE/4 S25   MIDDLEFIELD LN.                                                                                                                           | 
  16330 | Corner Record  |   14 |   14 |      1 | {5S.1E.10}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 2018-08-01 | M. PULLEY                  |                                                          | SE/4 SW/4 S10   TOTH RD.   LOT 11 BLOCK 192 OF 14 MAPS 121                                                                                                | 
  16331 | Corner Record  |   14 |   15 |      1 | {8N.1W.11}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 2018-09-05 | M. O'HERN                  |                                                          | SW/4 NW/4 S11 WESTGATE AVE.                                                                                                                               | 
  16332 | Corner Record  |   14 |   16 |      1 | {4N.1W.3.C,4N.1W.3.D}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 2018-09-10 | M. PULLEY                  |                                                          | N/2 NE/4 S3   RIDGECREST DR. LOT 27 & LOT 28 OF 13 MAPS 123-124                                                                                           | 
  16333 | Corner Record  |   14 |   17 |      1 | {6N.1E.16.M,6N.1E.16.N,6N.1E.21.A,6N.1E.21.B}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 2018-10-02 | M. HOUSTON                 | CALTRANS                                                 | SE/4 SW/4 S16   NW OF WEST END RD.                                                                                                                        | 
  16334 | Corner Record  |   14 |   18 |      1 | {6N.1E.16.M,6N.1E.16.N,6N.1E.21.A,6N.1E.21.B}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 2018-10-02 | M. HOUSTON                 |                                                          | SE/4 SW/4 S16   NW OF WEST END RD.                                                                                                                        | 
  16335 | Corner Record  |   14 |   19 |      1 | {2N.1E.7}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 2018-10-10 | M. MOORE                   |                                                          | NW/4 SE/4 S7   PINECREST DR.   PARCEL 14 OF 18 R/S 35                                                                                                     | 
  16336 | Corner Record  |   14 |   20 |      1 | {9N.1W.13}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 2018-10-30 | A. O'ROURKE                |                                                          | S13                                                                                                                                                       | 
  16337 | Corner Record  |   14 |   21 |      1 | {2N.1W.12.D}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 2018-10-30 | W. WRIGHT                  |                                                          | NE/4 NE/4 S12   FOREST HILLS DR.   23 MAPS 52-58                                                                                                          | 
  16338 | Corner Record  |   14 |   22 |      1 | {4S.4E.13,4S.4E.14,4S.4E.23,4S.4E.24}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 2018-10-31 | N. LABEDZKI                |                                                          | SEC COR. S13 & S14 & S23 & S24   WEST OF PRATT MOUNTAIN RD.                                                                                               | 
  16339 | Corner Record  |   14 |   23 |      1 | {4S.4E.13,4S.4E.14}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 2018-10-31 | N. LABEDZKI                |                                                          | 1/4 COR. S13 & S14   EAST OF PRATT MOUNTAIN RD.                                                                                                           | 
